time,price,amount,symbol
2022-02-01 14:48:59,38395.46,2500,30D
2022-02-04 18:05:59,40449.5,1000,30D
2022-02-08 09:56:59,43814.44,1800,30D
2022-02-11 07:43:59,43451.95,2000,30D
